X,Y,Z,SIGNAL_STRENGTH
1,87,-28,80
1,87,-29,80
0,84,-28,72
0,77,-26,72
0,82,-29,72
0,80,-29,80
0,75,-27,72
0,76,-28,72
0,78,-29,80
0,77,-29,72
0,71,-28,80
0,71,-28,72
0,68,-27,72
0,72,-30,72
0,70,-29,72
0,67,-28,72
0,71,-30,80
0,70,-30,80
0,66,-29,72
0,69,-31,72
0,65,-30,72
0,63,-29,72
0,61,-29,72
0,60,-29,72
0,64,-31,72
0,59,-29,80
0,63,-32,80
0,60,-30,72
0,59,-31,80
0,58,-30,80
0,55,-29,72
0,56,-30,72
0,56,-31,80
0,57,-32,80
0,54,-30,80
0,54,-31,80
0,52,-30,88
0,51,-30,80
0,51,-30,80
0,50,-30,80
0,47,-29,80
0,49,-31,80
0,48,-30,80
0,46,-29,80
0,49,-31,88
0,44,-28,80
0,44,-29,80
0,46,-31,80
0,45,-30,80
0,43,-29,80
0,43,-30,80
0,42,-29,72
0,43,-31,80
0,41,-30,80
0,44,-32,80
0,40,-30,80
0,42,-32,80
0,44,-33,72
0,40,-30,72
0,40,-31,72
0,37,-29,80
0,39,-31,72
0,41,-33,72
0,40,-33,72
0,34,-28,72
0,38,-32,72
0,34,-28,72
0,36,-31,72
0,34,-29,72
0,32,-28,72
0,29,-26,72
0,35,-31,72
0,37,-34,72
0,41,-37,64
0,35,-33,72
0,36,-34,72
0,33,-31,72
0,34,-33,80
0,32,-31,64
0,34,-33,80
0,35,-35,72
0,-35,-35,80
0,-34,-34,88
0,-37,-36,80
0,-35,-34,80
0,-39,-37,80
0,-39,-36,80
0,-39,-36,80
0,-40,-37,80
0,-37,-34,80
0,-36,-33,80
0,-40,-35,80
0,-37,-32,80
0,-41,-35,80
0,-40,-34,80
0,-39,-33,80
0,-40,-33,80
0,-41,-34,80
-1,-43,-35,80
-1,-44,-35,80
0,-42,-34,80
-1,-42,-33,80
-1,-45,-35,80
-1,-44,-33,80
-1,-45,-34,80
-1,-46,-34,80
-1,-44,-33,80
-1,-47,-34,80
-1,-47,-34,80
-1,-46,-33,80
-1,-49,-35,80
-1,-48,-33,80
-1,-49,-33,80
-1,-51,-35,80
-1,-48,-32,80
-1,-53,-35,80
-1,-49,-32,80
-1,-56,-36,80
-1,-56,-35,80
-1,-57,-36,80
-1,-57,-35,80
-1,-58,-35,80
-1,-60,-36,72
-1,-61,-36,80
-1,-61,-36,72
-1,-58,-34,80
-1,-57,-33,72
-1,-61,-34,80
-1,-60,-34,72
-1,-60,-33,72
-1,-67,-36,72
-1,-63,-33,80
-1,-65,-34,72
-1,-70,-36,72
-1,-65,-33,72
-1,-66,-33,72
-1,-69,-34,80
-1,-68,-33,80
-1,-75,-36,72
-1,-75,-35,72
-1,-77,-36,72
-1,-71,-33,80
-1,-79,-36,72
-1,-77,-34,72
-1,-83,-37,72
-1,-86,-37,72
-1,-87,-37,80
-1,-90,-37,80
-1,-89,-36,80
-1,-92,-37,80
-1,-96,-38,80
-1,-95,-37,80
-1,-98,-38,88
-1,-101,-38,88
-1,-103,-38,88
-1,-107,-39,88
-1,-109,-39,88
-1,-114,-40,88
-2,-130,-45,88
-2,-138,-47,88
-2,-146,-48,88
-2,-150,-49,88
-2,-158,-50,88
-2,-173,-54,88
-2,-181,-55,88
-2,-182,-55,88
-2,-183,-54,88
-2,-203,-58,88
-3,-230,-64,80
-3,-280,-77,64
-4,-381,-102,64
-5,-422,-111,72
-5,-445,-113,72
-5,-463,-115,72
-6,-488,-118,64
-6,-528,-124,64
-6,-552,-127,48
-10,-809,-176,56
-16,-1334,-217,16
-13,-1116,227,56
-13,-1087,229,40
-13,-1103,238,48
-12,-1031,230,56
-12,-988,226,64
-12,-984,232,64
-12,-1007,243,56
-12,-993,245,64
-12,-1011,257,32
-12,-995,258,64
-23,-1944,592,16
-20,-1722,780,16
-14,-1189,634,24
-31,-2644,1637,16
-11,-970,632,48
-9,-771,529,40
-9,-771,535,64
-9,-743,522,40
-9,-741,526,32
-9,-725,521,64
-8,-716,522,56
-8,-701,517,40
-8,-702,544,48
-8,-687,538,72
-13,-1127,917,16
-8,-683,569,32
-7,-634,561,40
-7,-629,576,40
-7,-604,559,72
-7,-592,554,40
-7,-578,549,32
-7,-582,565,72
-7,-585,575,56
-7,-585,583,32
-7,-560,563,64
-6,-549,559,64
-6,-549,566,40
-8,-640,675,40
-7,-627,693,32
-7,-552,625,72
-7,-552,632,40
-7,-557,646,40
-7,-559,655,32
-6,-538,637,32
-6,-532,638,64
-6,-521,632,40
-6,-499,614,32
-6,-518,644,80
-6,-506,636,48
-6,-512,652,72
-6,-517,667,40
-6,-528,689,48
-6,-469,636,40
-7,-558,775,32
-6,-524,736,40
-6,-503,716,56
-6,-493,709,40
-8,-675,1049,32
