X,Y,Z,SIGNAL_STRENGTH
8,225,33,191
8,222,30,191
8,223,28,191
8,218,25,191
8,217,23,191
8,218,21,191
8,216,19,191
8,216,17,191
8,212,15,191
7,210,13,191
7,210,11,191
7,207,9,191
7,207,7,191
7,205,5,191
7,202,4,191
7,202,2,191
7,198,0,191
7,199,-2,191
7,197,-4,191
7,194,-6,191
7,195,-7,191
7,194,-9,191
7,195,-11,191
7,191,-12,191
7,190,-14,191
7,189,-15,199
7,190,-17,191
7,191,-19,191
7,190,-20,191
7,189,-22,199
7,186,-23,199
7,184,-24,199
6,182,-26,199
6,179,-27,191
6,175,-28,199
6,172,-29,191
6,169,-30,191
6,167,-31,191
6,165,-32,191
6,161,-33,199
6,156,-33,191
5,155,-35,199
5,154,-36,199
5,148,-36,191
5,130,-33,191
5,129,-33,199
4,126,-34,191
5,128,-36,199
4,127,-37,199
5,127,-38,191
4,119,-37,191
4,108,-34,199
4,107,-35,199
4,107,-36,191
4,105,-36,199
4,105,-37,199
4,104,-38,191
3,82,-31,167
3,72,-28,175
2,70,-28,183
2,66,-27,183
2,70,-30,183
2,63,-28,183
2,65,-29,183
2,68,-31,183
2,62,-29,183
2,63,-30,183
2,62,-30,183
2,60,-30,183
2,60,-31,191
2,60,-32,191
2,59,-32,183
2,58,-32,183
2,56,-31,183
2,53,-30,183
2,58,-34,191
2,54,-32,183
2,54,-33,183
2,52,-32,183
2,49,-31,191
2,49,-32,191
2,49,-33,191
2,49,-33,183
2,47,-32,183
2,43,-31,183
2,45,-33,183
2,44,-33,183
2,43,-32,183
1,39,-30,183
1,40,-31,183
1,39,-31,175
1,40,-32,175
1,35,-29,183
1,40,-34,175
1,39,-33,167
1,35,-31,167
1,38,-34,167
1,35,-33,159
1,34,-32,175
1,32,-31,175
1,38,-37,167
-2,-37,-37,159
-2,-34,-34,167
-2,-34,-33,167
-2,-35,-33,167
-2,-32,-30,183
-2,-39,-35,175
-2,-39,-34,175
-2,-36,-31,175
-2,-39,-33,183
-2,-38,-32,183
-2,-39,-32,183
-2,-42,-34,191
-2,-41,-32,183
-2,-43,-33,183
-2,-45,-34,183
-2,-44,-33,191
-2,-44,-32,191
-2,-49,-35,183
-2,-49,-34,191
-2,-52,-36,183
-2,-50,-34,183
-2,-51,-34,183
-2,-52,-34,183
-2,-51,-33,183
-2,-53,-33,191
-3,-55,-34,191
-3,-58,-35,183
-3,-57,-33,183
-3,-56,-32,175
-3,-59,-33,183
-3,-59,-32,175
-3,-63,-33,183
-3,-64,-33,183
-3,-68,-34,175
-3,-69,-34,183
-3,-71,-34,175
-3,-69,-32,175
-3,-73,-33,167
-4,-76,-33,167
-4,-74,-32,167
-4,-78,-32,183
-4,-82,-33,175
-4,-83,-32,191
-4,-84,-32,183
-4,-90,-33,183
-4,-90,-32,191
-4,-95,-33,191
-5,-100,-34,183
-4,-95,-31,183
-5,-102,-32,183
-5,-113,-35,191
-5,-113,-34,199
-6,-123,-35,191
-6,-120,-34,191
-5,-112,-30,191
-9,-195,-50,167
-12,-247,-61,191
-12,-253,-60,183
-12,-263,-60,183
-11,-234,-51,183
-12,-254,-53,183
-16,-331,-65,159
-20,-433,-80,167
-22,-466,-81,175
-23,-479,-79,167
-22,-477,-73,167
-22,-476,-68,175
-11,-236,-25,70
-9,-195,-18,183
-9,-196,-17,191
-9,-185,-14,191
-8,-163,-11,191
-9,-181,-10,191
-8,-168,-8,191
-9,-192,-7,191
-9,-184,-5,191
-9,-198,-4,191
-9,-198,-2,191
-10,-203,0,191
-9,-200,2,191
-9,-200,3,191
-8,-178,5,183
-6,-136,5,191
-6,-133,7,183
-6,-135,8,183
-6,-121,23,65
-46,-975,229,55
-40,-840,235,65
-35,-746,245,50
-6,-125,42,191
-33,-710,267,84
-33,-705,293,70
-33,-708,328,70
-72,-1528,874,50
-28,-591,985,35
-25,-535,1000,65
-28,-586,1217,50
-26,-553,1284,45
-23,-497,1309,35
-21,-440,1325,35
-14,-297,1237,30
-11,-226,1156,30
-9,-181,1203,45
-4,-77,1189,50
7,156,1076,50
9,187,992,50
10,218,934,35
13,269,968,40
15,315,968,50
21,440,1029,50
24,512,1069,50
11,233,443,70
11,229,423,167
11,229,413,175
11,227,400,183
11,226,388,175
11,227,380,183
11,226,372,183
11,225,362,183
10,223,351,175
11,224,346,183
11,225,339,191
11,223,330,183
11,226,329,183
10,221,316,191
10,222,311,183
10,221,304,183
11,224,302,183
11,223,294,183
10,223,288,191
11,224,284,183
11,225,280,183
11,225,275,183
11,223,267,191
11,225,264,191
11,223,258,183
11,224,254,183
11,223,248,183
11,223,243,183
11,223,239,183
10,221,232,183
11,223,230,183
10,221,226,183
10,222,222,191
10,221,217,183
10,221,213,191
10,220,209,191
10,221,205,191
10,220,201,183
10,220,198,191
10,219,193,191
10,222,192,191
10,221,188,191
11,223,186,191
11,223,183,191
11,223,180,191
11,224,177,191
10,222,172,191
10,223,169,191
11,223,167,191
11,224,164,183
11,225,162,183
11,224,159,191
11,225,156,183
11,225,153,191
11,225,150,191
11,223,146,191
11,223,143,191
11,225,141,191
11,225,138,191
11,227,136,191
11,223,131,191
11,225,130,191
11,227,128,183
11,226,125,191
11,225,122,191
11,226,119,191
11,227,117,191
11,227,114,191
11,228,113,191
11,229,110,191
11,228,107,191
11,228,105,191
11,231,103,191
11,228,99,199
11,228,97,191
11,229,95,191
11,228,92,191
11,227,89,191
11,229,88,199
11,226,84,191
11,230,84,191
11,228,81,191
11,229,79,191
11,229,77,191
11,228,74,191
11,228,73,191
11,225,69,199
11,231,69,191
11,228,66,191
11,226,63,191
11,227,61,199
11,225,59,191
10,222,56,191
11,224,54,199
11,226,53,199
11,225,50,191
11,227,48,191
11,225,46,191
11,226,44,191
10,222,41,191
11,224,40,191
10,220,37,191
10,216,34,191
10,220,32,191
10,219,30,191
10,215,28,191
10,219,26,191
10,212,23,191
10,216,22,191
10,213,19,191
10,214,17,191
10,212,15,183
10,211,13,191
10,208,11,191
10,208,10,191
10,208,7,191
10,205,6,191
10,202,4,191
10,203,2,191
9,199,0,191
9,198,-2,191
9,195,-4,191
9,197,-5,191
9,196,-7,191
9,192,-9,191
9,191,-10,191
9,191,-12,191
9,190,-14,191
9,188,-15,199
9,189,-17,199
9,189,-18,191
9,187,-20,191
9,188,-21,191
9,186,-23,199
9,185,-24,191
8,178,-25,191
8,178,-27,191
8,176,-28,191
8,172,-29,191
8,170,-30,199
8,169,-31,191
8,167,-32,199
8,164,-33,191
8,160,-34,199
7,157,-35,191
7,156,-36,199
7,152,-36,191
7,146,-36,191
6,132,-34,191
6,129,-35,199
6,128,-35,191
6,128,-37,199
6,125,-37,191
6,119,-37,191
5,112,-35,191
5,111,-36,199
5,106,-35,199
5,103,-35,199
5,105,-37,199
5,105,-38,191
4,79,-30,159
4,78,-31,175
4,75,-30,175
3,69,-29,175
3,68,-29,175
3,65,-28,183
3,65,-29,183
3,66,-30,183
3,61,-29,175
3,62,-30,183
3,60,-30,183
3,57,-29,183
3,59,-31,183
3,61,-32,183
3,57,-31,183
3,56,-31,183
3,57,-32,191
3,54,-31,183
3,55,-32,191
3,53,-32,191
3,54,-33,183
3,55,-35,183
2,50,-32,183
2,50,-33,191
2,50,-33,191
2,49,-33,191
2,46,-32,183
2,45,-32,183
2,44,-32,183
2,46,-34,175
2,45,-34,183
2,40,-31,191
2,40,-31,183
2,41,-33,175
2,41,-33,183
2,39,-33,175
2,37,-32,167
2,38,-33,175
2,39,-35,167
2,42,-38,159
2,38,-35,167
2,35,-33,167
2,37,-36,159
-2,-37,-37,167
-2,-32,-31,183
-2,-37,-35,175
-2,-36,-33,183
-2,-38,-35,183
-2,-38,-34,175
-2,-38,-33,175
-2,-39,-33,183
-2,-38,-32,191
-2,-41,-34,183
-3,-43,-35,183
-3,-44,-35,183
-2,-42,-33,183
-3,-45,-35,191
-3,-45,-34,191
-3,-49,-36,183
-3,-47,-34,183
-3,-49,-35,183
-3,-49,-34,183
-3,-49,-34,183
-3,-49,-33,183
-3,-51,-33,191
-3,-50,-32,183
-3,-54,-34,183
-3,-56,-35,183
-3,-58,-35,183
-3,-58,-34,183
-3,-57,-33,183
-4,-62,-35,183
-4,-60,-33,183
-4,-61,-33,183
-4,-65,-34,175
-4,-67,-34,175
-4,-67,-34,183
-4,-68,-33,183
-4,-66,-31,175
-4,-70,-32,175
-4,-73,-33,175
-4,-76,-33,167
-5,-78,-33,175
-5,-76,-32,183
-5,-81,-33,175
-5,-85,-34,175
