X,Y,Z,SIGNAL_STRENGTH
-7,-207,17,191
-7,-208,19,199
-7,-207,21,199
-7,-208,23,191
-7,-208,25,191
-7,-210,27,191
-7,-207,28,191
-7,-209,30,191
-7,-207,32,199
-7,-207,34,191
-7,-207,36,191
-7,-208,38,191
-7,-208,40,191
-7,-206,41,191
-7,-208,43,191
-7,-209,45,199
-7,-210,47,191
-7,-208,49,191
-7,-208,51,191
-7,-207,53,191
-7,-210,55,191
-7,-209,58,191
-7,-210,61,191
-7,-209,62,191
-7,-208,64,191
-7,-209,67,191
-7,-210,69,191
-7,-211,72,191
-7,-209,74,191
-7,-208,75,191
-7,-210,78,191
-7,-208,80,191
-7,-208,82,191
-7,-211,86,191
-7,-210,87,191
-7,-211,90,191
-7,-211,92,191
-7,-208,93,191
-7,-212,97,191
-7,-211,99,191
-8,-213,102,191
-8,-213,105,191
-8,-214,108,191
-8,-213,110,191
-8,-214,113,191
-8,-213,115,191
-8,-214,118,191
-8,-213,120,199
-8,-213,123,191
-8,-215,126,191
-8,-214,129,191
-8,-215,131,191
-8,-213,133,199
-8,-217,138,191
-8,-213,138,199
-8,-214,142,191
-8,-218,147,199
-8,-213,147,191
-8,-214,150,191
-8,-216,154,199
-8,-217,158,191
-8,-217,161,191
-8,-215,163,191
-8,-215,165,191
-8,-216,170,191
-8,-215,171,191
-8,-216,174,191
-8,-214,176,191
-8,-216,181,191
-8,-218,185,191
-8,-217,188,191
-8,-218,193,191
-8,-218,197,191
-8,-221,203,191
-8,-218,203,191
-8,-218,207,191
-8,-218,211,191
-8,-220,217,191
-8,-221,223,191
-8,-221,227,191
-8,-221,231,191
-8,-223,237,191
-8,-223,241,191
-8,-223,246,191
-8,-223,251,191
-8,-224,257,191
-8,-225,263,191
-8,-225,268,183
-8,-227,275,191
-8,-227,280,191
-8,-229,288,191
-8,-228,292,191
-8,-228,298,191
-8,-228,304,191
-8,-228,310,183
-8,-229,317,191
-8,-231,326,183
-8,-229,330,191
-8,-229,336,183
-8,-231,346,191
-8,-231,353,191
-8,-232,361,191
-8,-231,367,183
-8,-230,374,191
-8,-232,388,183
-8,-234,399,183
-8,-231,406,191
-17,-494,966,35
-13,-373,913,45
-12,-344,960,50
-11,-299,964,65
-9,-251,951,35
-6,-164,939,40
-5,-129,986,40
-2,-60,687,55
-2,-43,847,65
0,-7,952,70
1,29,876,35
2,54,712,35
3,86,726,65
4,114,706,50
7,191,928,35
6,170,681,30
12,350,1024,55
14,394,709,70
17,470,765,55
18,511,758,40
23,658,813,30
25,696,722,50
25,721,692,30
44,1242,562,20
10,277,97,45
10,285,97,191
10,283,93,191
10,285,91,199
10,284,88,191
10,284,86,191
10,285,83,199
10,285,80,191
10,286,78,191
10,286,75,199
10,287,73,199
10,288,71,191
10,289,68,191
10,291,66,191
10,290,63,191
10,292,61,191
10,292,58,199
10,292,55,191
10,290,52,191
10,288,49,191
10,289,47,191
10,289,45,199
10,286,42,191
10,286,39,191
10,286,37,191
10,287,34,191
10,286,32,191
10,287,29,191
10,291,27,191
11,300,24,191
12,332,23,191
12,344,21,183
12,326,17,183
12,328,15,183
12,332,12,175
12,331,8,159
11,308,-4,70
11,309,-8,167
16,443,-30,35
15,411,-46,65
11,306,-41,112
11,298,-43,183
11,297,-46,191
11,299,-48,191
10,296,-50,183
10,280,-51,175
10,272,-52,167
9,262,-53,183
9,246,-52,183
9,242,-53,175
5,135,-33,112
5,128,-33,175
4,116,-31,183
4,116,-32,183
4,121,-35,167
5,130,-39,175
5,138,-43,183
4,126,-41,175
4,117,-39,175
3,81,-30,98
3,72,-27,167
3,74,-29,159
3,74,-32,84
3,73,-32,159
3,75,-34,167
3,75,-35,159
3,80,-38,159
4,103,-50,175
3,97,-48,183
4,102,-52,191
3,96,-50,175
3,93,-49,183
3,83,-46,175
3,87,-49,183
3,83,-48,175
3,79,-46,183
3,75,-45,183
3,72,-44,183
2,69,-43,183
2,65,-41,183
2,70,-45,175
2,67,-45,183
2,67,-46,183
2,64,-45,183
2,63,-45,183
2,63,-46,175
2,57,-42,167
2,57,-43,167
2,49,-38,167
1,42,-34,159
2,46,-39,84
1,39,-35,84
1,35,-34,70
-2,-35,-34,183
-2,-35,-33,175
-2,-35,-33,183
-2,-40,-37,175
-2,-36,-33,183
-2,-38,-34,183
-2,-38,-33,183
-2,-39,-33,183
-2,-42,-35,183
-2,-39,-33,191
-2,-41,-33,183
-2,-44,-35,183
-2,-44,-35,183
-2,-45,-35,191
-2,-47,-36,183
-2,-46,-34,191
-2,-49,-36,191
-2,-48,-34,183
-2,-50,-35,183
-2,-50,-34,183
-3,-53,-36,191
-2,-51,-34,191
-3,-55,-35,183
-3,-53,-34,191
-3,-55,-34,183
-3,-56,-34,175
-2,-52,-31,167
-3,-60,-34,167
-3,-64,-36,183
-3,-62,-34,159
-3,-68,-36,175
-3,-69,-36,167
-3,-67,-33,98
-3,-73,-35,167
-4,-74,-34,175
-3,-74,-33,167
-4,-79,-34,175
-4,-78,-33,175
-4,-85,-35,183
-4,-86,-35,183
-4,-92,-36,183
-4,-93,-35,183
-5,-96,-35,183
-5,-99,-35,183
-5,-102,-35,191
-5,-105,-35,191
-5,-109,-36,191
-6,-117,-37,191
-6,-118,-37,199
-6,-123,-37,199
-6,-127,-37,191
-6,-134,-37,191
-7,-140,-38,191
-7,-146,-38,191
-7,-152,-38,191
-7,-158,-38,191
-8,-166,-38,191
-9,-181,-40,191
-9,-195,-41,191
-10,-204,-41,199
-10,-204,-39,199
-10,-203,-37,199
-10,-203,-35,191
-10,-204,-33,199
-10,-204,-32,199
-10,-204,-30,199
-10,-205,-28,199
-10,-204,-27,199
-10,-204,-25,199
-10,-203,-23,199
-10,-204,-22,199
-10,-204,-20,199
-10,-204,-19,199
-10,-204,-17,199
-10,-204,-15,199
-10,-203,-13,199
-10,-204,-12,199
-10,-206,-10,199
-10,-205,-8,199
-10,-205,-7,199
-10,-206,-5,199
-10,-206,-4,199
-10,-205,-2,199
-10,-206,-1,199
-10,-206,1,199
-10,-206,2,199
-10,-205,4,199
-10,-206,5,199
-10,-207,7,199
-10,-207,9,199
-10,-207,10,199
-10,-206,12,199
-10,-208,14,191
-10,-206,16,191
-10,-206,17,199
-10,-208,19,191
-10,-206,21,191
-10,-207,23,199
-10,-207,25,199
-10,-208,27,191
-10,-208,29,191
-10,-207,30,191
-10,-209,32,191
-10,-209,34,191
-10,-209,36,191
-10,-207,38,191
-10,-204,39,191
-10,-207,42,191
-10,-206,43,191
-10,-207,45,199
-10,-207,47,191
-10,-205,49,191
-10,-208,51,191
-10,-205,52,191
-10,-208,55,191
-10,-207,57,191
-10,-208,59,191
-10,-206,62,191
-10,-207,64,191
-10,-207,66,191
-10,-209,68,199
-10,-209,71,191
-10,-210,73,191
-10,-209,75,191
-10,-211,78,199
-10,-211,80,191
-10,-213,83,191
-10,-211,84,191
-10,-211,87,199
